# PromQL capability evidence — post-port
Generated 2026-09-17T14:59:06Z from build/programs/clickhouse (26.3.32.1)
Pinned upstream commit: 290adb52c4ee238c9f3f0b557d6f2ca9bb3b29ff

Probe: SELECT * FROM prometheusQuery(currentDatabase(), 'ts', <expr>, now())
Code: 48 = NOT_IMPLEMENTED. 'PRE' column recorded on the unmodified 26.3 baseline binary.

EXPRESSION                             PRE (baseline)         POST (ported)
up                                     OK                     OK (evaluates)
up{job="x"}                            OK                     OK (evaluates)
rate(up[5m])                           OK                     OK (evaluates)
irate(up[5m])                          OK                     OK (evaluates)
delta(up[5m])                          OK                     OK (evaluates)
idelta(up[5m])                         OK                     OK (evaluates)
last_over_time(up[5m])                 OK                     OK (evaluates)
-up                                    OK                     OK (evaluates)
sum(up)                                Code: 48 NOT_IMPL      OK (evaluates)
avg(up)                                Code: 48 NOT_IMPL      OK (evaluates)
count(up)                              Code: 48 NOT_IMPL      OK (evaluates)
max(up)                                Code: 48 NOT_IMPL      OK (evaluates)
min(up)                                Code: 48 NOT_IMPL      OK (evaluates)
stddev(up)                             Code: 48 NOT_IMPL      OK (evaluates)
stdvar(up)                             Code: 48 NOT_IMPL      OK (evaluates)
group(up)                              Code: 48 NOT_IMPL      OK (evaluates)
topk(3, up)                            Code: 48 NOT_IMPL      OK (evaluates)
bottomk(2, up)                         Code: 48 NOT_IMPL      OK (evaluates)
quantile(0.5, up)                      Code: 48 NOT_IMPL      OK (evaluates)
count_values("v", up)                  Code: 48 NOT_IMPL      OK (evaluates)
sum by (job) (rate(up[5m]))            Code: 48 NOT_IMPL      OK (evaluates)
rate(a[5m]) / rate(b[5m])              Code: 48 NOT_IMPL      OK (evaluates)
a + b                                  Code: 48 NOT_IMPL      OK (evaluates)
up > 5                                 Code: 48 NOT_IMPL      OK (evaluates)
up == 1                                Code: 48 NOT_IMPL      OK (evaluates)
a and b                                Code: 48 NOT_IMPL      OK (evaluates)
a or b                                 Code: 48 NOT_IMPL      OK (evaluates)
a unless b                             Code: 48 NOT_IMPL      OK (evaluates)
histogram_quantile(0.9, x)             Code: 48 NOT_IMPL      OK (evaluates)
avg_over_time(up[5m])                  Code: 48 NOT_IMPL      OK (evaluates)
sum_over_time(up[5m])                  Code: 48 NOT_IMPL      OK (evaluates)
min_over_time(up[5m])                  Code: 48 NOT_IMPL      OK (evaluates)
increase(up[5m])                       Code: 48 NOT_IMPL      OK (evaluates)
deriv(up[5m])                          Code: 48 NOT_IMPL      OK (evaluates)
changes(up[5m])                        Code: 48 NOT_IMPL      OK (evaluates)
resets(up[5m])                         Code: 48 NOT_IMPL      OK (evaluates)
absent(up)                             Code: 48 NOT_IMPL      OK (evaluates)
clamp_min(up, 0)                       Code: 48 NOT_IMPL      OK (evaluates)
round(up)                              Code: 48 NOT_IMPL      OK (evaluates)
label_replace(up,"a","b","c","d")      Code: 48 NOT_IMPL      OK (evaluates)
label_join(up,"a","b","c")             Code: 48 NOT_IMPL      OK (evaluates)
